Date,Open,High,Low,Close,Volume
02/28/2014,"60.61","62.88","60.40","62.54","14,247,410"
02/27/2014,"60.42","60.78","59.75","60.66","9,475,989"
02/26/2014,"58.58","61.18","58.10","60.49","24,196,670"
02/25/2014,"55.96","56.61","55.81","56.51","8,060,198"
02/24/2014,"56.19","56.64","55.44","56.14","9,156,944"
02/21/2014,"56.72","56.80","56.15","56.24","6,606,993"
02/20/2014,"57.40","57.40","56.41","56.62","8,827,006"
02/19/2014,"56.36","57.82","56.32","57.31","8,857,137"
02/18/2014,"56.42","56.64","56.17","56.39","6,094,867"
02/14/2014,"56.66","56.69","55.76","56.06","9,387,426"
02/13/2014,"56.97","57.36","56.45","56.86","7,572,143"
02/12/2014,"57.17","57.17","56.62","56.95","7,308,029"
02/11/2014,"56.66","57.38","56.55","57.14","8,200,525"
02/10/2014,"56.34","56.69","56.17","56.51","6,018,179"
02/07/2014,"56.11","56.41","55.54","56.33","6,726,249"
02/06/2014,"55.13","56.00","55.09","55.86","8,923,417"
02/05/2014,"55.06","55.19","54.66","55.07","8,181,429"
02/04/2014,"55.87","55.87","55.10","55.12","5,976,243"
02/03/2014,"56.86","56.87","55.28","55.41","6,750,194"
01/31/2014,"56.41","56.98","55.96","56.64","6,327,098"
01/30/2014,"57.11","57.20","56.65","56.67","6,214,362"
01/29/2014,"57.67","57.86","56.83","56.89","5,949,178"
01/28/2014,"57.85","58.29","57.76","57.89","4,913,698"
01/27/2014,"57.73","57.96","57.38","57.71","6,208,487"
01/24/2014,"58.56","58.60","57.69","57.72","7,728,360"
01/23/2014,"58.50","58.72","58.26","58.65","7,062,468"
01/22/2014,"59.78","59.82","58.75","58.98","7,227,545"
01/21/2014,"59.80","59.81","58.80","59.20","10,609,020"
01/17/2014,"60.93","60.93","59.87","60.24","8,139,717"
01/16/2014,"61.44","61.55","60.60","60.81","5,297,329"
01/15/2014,"61.86","61.87","61.50","61.56","4,238,988"
01/14/2014,"61.51","61.76","61.27","61.71","5,569,775"
01/13/2014,"62.12","62.23","61.49","61.50","8,073,831"
01/10/2014,"62.89","63.63","62.16","62.62","12,966,750"
01/09/2014,"62.89","63.59","62.77","63.34","7,270,275"
